City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
229,Kununurra,-15.7667,128.7333,94.98,34,12,8.05,AU,2022-09-19 02:36:13
230,Imbituba,-28.24,-48.6703,57.92,89,100,9.78,BR,2022-09-19 02:40:46
231,Ribeira Grande,38.5167,-28.7,73.8,88,11,0.81,PT,2022-09-19 02:40:46
232,Otane,-39.8833,176.6333,62.01,67,100,9.55,NZ,2022-09-19 02:40:47
233,Kidal,18.4411,1.4078,85.62,46,60,5.41,ML,2022-09-19 02:40:47
234,Seybaplaya,19.65,-90.6667,83.66,79,25,13.27,MX,2022-09-19 02:40:48
235,Binzhou,37.3667,118.0167,74.28,36,4,17.4,CN,2022-09-19 02:40:48
236,Cabedelo,-6.9811,-34.8339,74.07,81,3,12.44,BR,2022-09-19 02:40:49
237,Matale,7.4721,80.6234,80.02,67,100,5.46,LK,2022-09-19 02:40:49
238,Santa Vitoria Do Palmar,-33.5189,-53.3681,58.71,86,100,10.16,BR,2022-09-19 02:36:16
239,Rorvik,64.8621,11.2373,50.11,87,75,11.5,NO,2022-09-19 02:40:50
240,Sampit,-2.5333,112.95,86.92,63,80,4.83,ID,2022-09-19 02:40:50
241,Nanning,22.8167,108.3167,90.05,53,13,2.8,CN,2022-09-19 02:40:51
242,Esperance,-33.8667,121.9,60.12,73,2,7.49,AU,2022-09-19 02:40:51
243,Aquidauana,-20.4711,-55.7872,82.2,39,26,7.43,BR,2022-09-19 02:40:52
244,Busayra,30.7376,35.6078,62.4,75,0,5.86,JO,2022-09-19 02:40:52
245,Egvekinot,66.3167,-179.1667,35.37,95,100,3.27,RU,2022-09-19 02:40:53
246,Acapulco,16.8634,-99.8901,80.42,78,100,13.8,MX,2022-09-19 02:37:17
247,Sorong,-0.8833,131.25,83.01,74,21,6.82,ID,2022-09-19 02:40:53
248,Mantua,45.1667,10.7833,58.15,82,11,1.01,IT,2022-09-19 02:40:54
249,Udachnyy,66.4167,112.4,30.45,92,100,9.78,RU,2022-09-19 02:40:54
250,Praia Da Vitoria,38.7333,-27.0667,71.85,94,40,8.81,PT,2022-09-19 02:40:55
251,Naze,28.3667,129.4833,83.32,80,76,20.02,JP,2022-09-19 02:40:55
252,Armizonskoye,55.9461,67.6736,59.38,71,93,6.11,RU,2022-09-19 02:40:56
253,Nakhon Phanom,17.3333,104.4167,84.0,80,100,4.76,TH,2022-09-19 02:40:56
254,Ziarat,30.3823,67.7282,62.91,31,0,3.2,PK,2022-09-19 02:40:57
255,Kawanoe,34.0167,133.5667,81.0,84,100,32.57,JP,2022-09-19 02:40:57
256,Tura,25.5198,90.2201,78.3,93,100,5.3,IN,2022-09-19 02:40:58
257,Agucadoura,41.4318,-8.7804,74.25,61,88,4.68,PT,2022-09-19 02:40:58
258,Glendive,47.1053,-104.7125,71.22,34,0,9.22,US,2022-09-19 02:40:59
259,Areka,7.0667,37.7,59.11,86,63,2.71,ET,2022-09-19 02:40:59
260,Emet,39.343,29.2585,60.28,80,94,4.9,TR,2022-09-19 02:40:59
261,Buy,58.4786,41.53,52.11,92,100,11.16,RU,2022-09-19 02:41:00
262,Heubach,48.7927,9.9337,45.21,92,67,11.01,DE,2022-09-19 02:41:00
263,Outlook,51.5001,-107.0513,59.23,34,100,4.7,CA,2022-09-19 02:41:01
264,Swan River,52.1058,-101.2676,55.29,88,99,5.75,CA,2022-09-19 02:41:01
265,Lazaro Cardenas,17.9583,-102.2,75.67,96,100,4.14,MX,2022-09-19 02:41:02
266,Cabo San Lucas,22.8909,-109.9124,85.05,84,100,9.04,MX,2022-09-19 02:41:02
267,Mount Gambier,-37.8333,140.7667,56.39,61,84,7.14,AU,2022-09-19 02:41:03
268,Eyl,7.9803,49.8164,78.33,71,99,14.9,SO,2022-09-19 02:41:03
269,Steinbach,50.1667,8.5667,49.1,81,100,11.5,DE,2022-09-19 02:39:58
270,Tuktoyaktuk,69.4541,-133.0374,50.0,76,75,3.44,CA,2022-09-19 02:41:04
271,Olafsvik,64.8945,-23.7142,49.3,94,100,13.73,IS,2022-09-19 02:41:04
272,Onega,63.9061,38.1404,43.16,96,70,4.45,RU,2022-09-19 02:41:05
273,Kalmar,56.6616,16.3616,51.96,90,100,6.91,SE,2022-09-19 02:41:06
274,Severobaykalsk,55.65,109.3167,41.36,52,100,2.59,RU,2022-09-19 02:42:07
275,Sambava,-14.2667,50.1667,66.78,88,13,8.84,MG,2022-09-19 02:42:07
276,Poum,-20.2333,164.0167,77.49,72,0,13.04,NC,2022-09-19 02:42:07
277,Shush,32.1942,48.2436,83.95,15,0,2.26,IR,2022-09-19 02:42:08
278,Komsomolskiy,40.4272,71.7189,70.52,35,4,9.22,UZ,2022-09-19 02:42:08
279,Taoudenni,22.6783,-3.9836,89.49,20,7,10.49,ML,2022-09-19 02:42:09
280,Bilecik,40.0,30.1667,57.85,81,100,5.68,TR,2022-09-19 02:42:10
