City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
289,Oussouye,SN,12.485,-16.5469,80.69,88,100,1.03,overcast clouds
290,Capaci,IT,38.1711,13.2393,79.75,61,0,4.61,clear sky
291,Nuuk,GL,64.1835,-51.7216,38.01,100,100,12.66,light snow
292,Narathiwat,TH,6.3333,101.75,84.06,56,100,7.14,overcast clouds
293,Kendari,ID,-3.945,122.4989,82.58,78,44,4.38,scattered clouds
294,Paita,PE,-5.0892,-81.1144,64.15,85,100,11.81,overcast clouds
295,Lubsko,PL,51.7847,14.972,50.92,96,100,9.33,overcast clouds
296,Luderitz,NA,-26.6481,15.1594,60.58,43,0,12.55,clear sky
297,Meulaboh,ID,4.1363,96.1285,85.01,63,91,7.45,overcast clouds
298,Asau,RO,46.4333,26.4,51.28,71,91,5.41,overcast clouds
299,Tanete,ID,-3.9443,119.7848,82.87,79,89,4.03,overcast clouds
300,Jalu,LY,29.0331,21.5482,84.07,35,0,3.02,clear sky
301,Iquitos,PE,-3.7481,-73.2472,73.44,94,0,2.3,clear sky
302,Tasiilaq,GL,65.6145,-37.6368,42.96,99,100,6.15,light rain
303,Asha,RU,54.9973,57.2722,73.71,33,100,7.87,overcast clouds
304,Miandrivazo,MG,-19.5167,45.4667,87.49,32,0,0.11,clear sky
305,Igrim,RU,63.1906,64.4162,57.4,95,100,10.11,light rain
306,Ekhabi,RU,53.5102,142.9671,43.07,93,100,30.31,light rain
307,Flin Flon,CA,54.7682,-101.865,51.8,96,100,5.35,overcast clouds
308,Matay,EG,28.419,30.7792,81.64,50,0,8.55,clear sky
309,Cascavel,BR,-24.9558,-53.4553,52.48,97,99,3.94,overcast clouds
310,Shipunovo,RU,52.1582,82.2173,72.52,19,44,5.93,scattered clouds
311,Rundu,NA,-17.9333,19.7667,65.91,15,0,14.25,clear sky
312,Morro Bay,US,35.3658,-120.8499,64.2,95,53,1.01,broken clouds
313,Iracoubo,GF,5.4802,-53.2011,76.26,90,100,8.19,overcast clouds
314,Boshan,CN,36.4833,117.8333,64.87,46,100,3.33,overcast clouds
315,Vanimo,PG,-2.6741,141.3028,80.74,84,100,8.99,overcast clouds
316,Saint-Pierre,RE,-21.3393,55.4781,78.48,61,20,28.77,few clouds
317,Yangambi,CD,0.8102,24.4336,77.16,90,43,1.28,moderate rain
318,Orzhytsya,UA,49.7918,32.7012,56.19,58,100,10.31,overcast clouds
319,Cidreira,BR,-30.1811,-50.2056,59.58,94,100,8.23,overcast clouds
320,Ambon,ID,-3.6954,128.1814,86.14,70,20,6.91,few clouds
321,Casma,CL,-41.0082,-73.1244,40.28,99,44,0.85,scattered clouds
322,Lerwick,GB,60.1545,-1.1494,53.6,90,100,12.73,overcast clouds
323,Severomuysk,RU,56.1481,113.4267,34.34,92,100,4.59,light snow
324,Jacksonville Beach,US,30.2947,-81.3931,76.05,94,5,5.19,clear sky
325,Vavuniya,LK,8.7514,80.4971,96.19,38,69,9.37,broken clouds
